number,review_title,reviewed_at,reviewed_by,images,crawled_at,url,hotel_name,hotel_url,nationality,rating,review_text,raw_review_text,tags,meta
0,Exceptional,11-Jul-21,Kyrylo,,28-00-2023,https://www.booking.com/reviews/be/hotel/villa-pura-vida.en-gb.html?label=gen173nr-1BCA0oFUIPdmlsbGEtcHVyYS12aWRhSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEBiAIBqAIDuALtqdeHBsACAdICJGU0NzQxOGI5LTY1MTEtNDIzOS04MTc4LWFhZWZkNWUwMWU3ONgCBeACAQ;sid=112feb5c809e55c93c7a10cb30d87aae;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Villa Pura Vida,https://www.booking.com/hotel/be/villa-pura-vida.en-gb.html?label=gen173nr-1FCA0oFUIPdmlsbGEtcHVyYS12aWRhSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEB-AELiAIBqAIDuALtqdeHBsACAdICJGU0NzQxOGI5LTY1MTEtNDIzOS04MTc4LWFhZWZkNWUwMWU3ONgCBuACAQ;sid=112feb5c809e55c93c7a10cb30d87aae,Poland,10.0,"Everything was perfect! Quite, cozy place to relax.","<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Everything was perfect! Quite, cozy place to relax.</span></p>",Business trip~Solo traveller~Junior Suite~Stayed 1 night~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
1,I highly recommend this b&b! We enjoyed it a lot!,24-Nov-19,Dimitri,,01-00-2022,https://www.booking.com/reviews/be/hotel/villa-pura-vida.en-gb.html?label=gen173nr-1BCA0oFUIPdmlsbGEtcHVyYS12aWRhSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEBiAIBqAIDuALtqdeHBsACAdICJGU0NzQxOGI5LTY1MTEtNDIzOS04MTc4LWFhZWZkNWUwMWU3ONgCBeACAQ;sid=112feb5c809e55c93c7a10cb30d87aae;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Villa Pura Vida,https://www.booking.com/hotel/be/villa-pura-vida.en-gb.html?label=gen173nr-1FCA0oFUIPdmlsbGEtcHVyYS12aWRhSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEB-AELiAIBqAIDuALtqdeHBsACAdICJGU0NzQxOGI5LTY1MTEtNDIzOS04MTc4LWFhZWZkNWUwMWU3ONgCBuACAQ;sid=112feb5c809e55c93c7a10cb30d87aae,Belgium,9.0,Very friendly host and perfect breakfast!,"<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Very friendly host and perfect breakfast!</span></p>",Leisure trip~Couple~Deluxe Suite~Stayed 1 night~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
2,Exceptional,03-Jan-20,Virginia,,22-00-2022,https://www.booking.com/reviews/be/hotel/hydro-palace.en-gb.html?label=gen173nr-1BCA0oFUIMaHlkcm8tcGFsYWNlSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEBiAIBqAIDuALtqdeHBsACAdICJGVhMGRkOWQ3LTUxOTctNDZjMC1hMDU2LTRlYTIxMTJhMDZhONgCBeACAQ;sid=b24509940b0c16fb9b31db6c116ab216;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Hydro Palace Apartment,https://www.booking.com/hotel/be/hydro-palace.en-gb.html?label=gen173nr-1FCA0oFUIMaHlkcm8tcGFsYWNlSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEB-AELiAIBqAIDuALtqdeHBsACAdICJGVhMGRkOWQ3LTUxOTctNDZjMC1hMDU2LTRlYTIxMTJhMDZhONgCBuACAQ;sid=112feb5c809e55c93c7a10cb30d87aae,United Kingdom,10.0,"It was just what we wanted for a week by the beach in winter,

Location was fab, apartment quiet and very well-equipped. Spotless clean.","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">It was just what we wanted for a week by the beach in winter</span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Location was fab, apartment quiet and very well-equipped. Spotless clean.</span></p>",Leisure trip~Couple~Apartment with Sea View~Stayed 6 nights~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
3,My stay in the house was a experiencing bliss in luxury. The house is sheer touch of beauty wrapped,08-Sep-19,Kannan,,15-00-2023,https://www.booking.com/reviews/be/hotel/villa-pura-vida.en-gb.html?label=gen173nr-1BCA0oFUIPdmlsbGEtcHVyYS12aWRhSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEBiAIBqAIDuALtqdeHBsACAdICJGU0NzQxOGI5LTY1MTEtNDIzOS04MTc4LWFhZWZkNWUwMWU3ONgCBeACAQ;sid=112feb5c809e55c93c7a10cb30d87aae;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Villa Pura Vida,https://www.booking.com/hotel/be/villa-pura-vida.en-gb.html?label=gen173nr-1FCA0oFUIPdmlsbGEtcHVyYS12aWRhSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEB-AELiAIBqAIDuALtqdeHBsACAdICJGU0NzQxOGI5LTY1MTEtNDIzOS04MTc4LWFhZWZkNWUwMWU3ONgCBuACAQ;sid=112feb5c809e55c93c7a10cb30d87aae,Netherlands,10.0,My stay in the house was a experiencing bliss in luxury. The house is sheer touch of beauty wrapped by luxury and complimented with kindness and care  from Lisbette & her parents making it a most remarkable stay.,"<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">My stay in the house was a experiencing bliss in luxury. The house is sheer touch of beauty wrapped by luxury and complimented with kindness and care  from Lisbette &amp; her parents making it a most remarkable stay.</span></p>",Business trip~Solo traveller~Junior Suite~Stayed 4 nights~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
4,"One bedroom apartment with wonderful view and free, secure parking, but not close enough  to the main beach area.",23-Jun-19,Sue,https://cf.bstatic.com/xdata/images/xphoto/square60_ao/69996062.jpg?k=e936f8850d7a2e3e8d4c9b17e552e4d8b346a17a503fd630e364945cfdee1a2c&o=,04-00-2023,https://www.booking.com/reviews/be/hotel/hydro-palace.en-gb.html?label=gen173nr-1BCA0oFUIMaHlkcm8tcGFsYWNlSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEBiAIBqAIDuALtqdeHBsACAdICJGVhMGRkOWQ3LTUxOTctNDZjMC1hMDU2LTRlYTIxMTJhMDZhONgCBeACAQ;sid=b24509940b0c16fb9b31db6c116ab216;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Hydro Palace Apartment,https://www.booking.com/hotel/be/hydro-palace.en-gb.html?label=gen173nr-1FCA0oFUIMaHlkcm8tcGFsYWNlSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEB-AELiAIBqAIDuALtqdeHBsACAdICJGVhMGRkOWQ3LTUxOTctNDZjMC1hMDU2LTRlYTIxMTJhMDZhONgCBuACAQ;sid=112feb5c809e55c93c7a10cb30d87aae,South Africa,9.2,"The building itself has a very musty smell in the hallway (despite being built in 1988), but the apartment itself smells good, which makes it bearable. 
When showering, the hot water goes off every 2-3 minutes for about 20-30 seconds and then only cold water comes out. The hot water then comes back again. This should be checked out. That is the only thing we didn’t like about the apartment. ,

The view was great, the apartment furnished in a modern style and equipped with everything you may need. The apartment was clean. 
There is free, secure parking outside in the building’s parking lot or downstairs in the garage. 
Jan always responded promptly to all messages sent via Booking.com messenger.","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">The building itself has a very musty smell in the hallway (despite being built in 1988), but the apartment itself smells good, which makes it bearable. 
When showering, the hot water goes off every 2-3 minutes for about 20-30 seconds and then only cold water comes out. The hot water then comes back again. This should be checked out. That is the only thing we didn’t like about the apartment. </span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">The view was great, the apartment furnished in a modern style and equipped with everything you may need. The apartment was clean. 
There is free, secure parking outside in the building’s parking lot or downstairs in the garage. 
Jan always responded promptly to all messages sent via Booking.com messenger.  </span></p>",Leisure trip~People with friends~Apartment with Sea View~Stayed 4 nights~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
5,Fantastic! Beautiful home with a gracious welcoming hostess,06-Jun-19,Nicola,,01-00-2022,https://www.booking.com/reviews/be/hotel/villa-pura-vida.en-gb.html?label=gen173nr-1BCA0oFUIPdmlsbGEtcHVyYS12aWRhSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEBiAIBqAIDuALtqdeHBsACAdICJGU0NzQxOGI5LTY1MTEtNDIzOS04MTc4LWFhZWZkNWUwMWU3ONgCBeACAQ;sid=112feb5c809e55c93c7a10cb30d87aae;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Villa Pura Vida,https://www.booking.com/hotel/be/villa-pura-vida.en-gb.html?label=gen173nr-1FCA0oFUIPdmlsbGEtcHVyYS12aWRhSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEB-AELiAIBqAIDuALtqdeHBsACAdICJGU0NzQxOGI5LTY1MTEtNDIzOS04MTc4LWFhZWZkNWUwMWU3ONgCBuACAQ;sid=112feb5c809e55c93c7a10cb30d87aae,United Kingdom,10.0,"Nothing,

Beautiful home! Great room, most comfortable bed! The hostess couldn’t do enough for you.  Very gracious and welcoming, even gave my husband a lift to his conference.  Thank you for your generous hospitality.  Would stay here again.","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">Nothing</span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Beautiful home! Great room, most comfortable bed! The hostess couldn’t do enough for you.  Very gracious and welcoming, even gave my husband a lift to his conference.  Thank you for your generous hospitality.  Would stay here again.</span></p>",Business trip~Couple~Junior Suite~Stayed 1 night~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
6,"everything perfect, great bath in the room!",14-Jun-21,Macıej,,20-00-2022,https://www.booking.com/reviews/be/hotel/love-nest-versailles-style.en-gb.html?label=gen173nr-1BCA0oFUIabG92ZS1uZXN0LXZlcnNhaWxsZXMtc3R5bGVIM1gEaGyIAQGYAQm4AQfIAQ3YAQHoAQGIAgGoAgO4Au2p14cGwAIB0gIkNmM2ZjMyNGYtNzJkYS00YzZkLTliYWYtOGYzZjllNWUzZmUw2AIF4AIB;sid=feb803026716f6d7de838a74aaffe6b3;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,https://www.booking.com/hotel/be/love-nest-versailles-style.en-gb.html?label=gen173nr-1FCA0oFUIabG92ZS1uZXN0LXZlcnNhaWxsZXMtc3R5bGVIM1gEaGyIAQGYAQm4AQfIAQ3YAQHoAQH4AQuIAgGoAgO4Au2p14cGwAIB0gIkNmM2ZjMyNGYtNzJkYS00YzZkLTliYWYtOGYzZjllNWUzZmUw2AIG4AIB;sid=6891a59907ed008c879669a398b5df5b,Poland,10.0,"to many messages sending from the owner in the app. But it is only my filling.,

everything great! perfect location, perfect room, very clean, everything what you need inside, but the best of the best is the bath :)","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">to many messages sending from the owner in the app. But it is only my filling.</span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">everything great! perfect location, perfect room, very clean, everything what you need inside, but the best of the best is the bath :)</span></p>",Business trip~Couple~Deluxe Double Room with Bath~Stayed 1 night~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
7,Very good,03-Aug-19,Hpvdh,,18-00-2021,https://www.booking.com/reviews/be/hotel/gite-namaste.en-gb.html?label=gen173nr-1BCA0oFUIMZ2l0ZS1uYW1hc3RlSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEBiAIBqAIDuALtqdeHBsACAdICJDM2NWY2YzBkLTAyYzktNDc0ZC05N2RmLTk1YzhkNGNjODdjYtgCBeACAQ;sid=219ef967c9a35e0367a6f1ef0ece9159;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Gite Namaste,https://www.booking.com/hotel/be/gite-namaste.en-gb.html?label=gen173nr-1FCA0oFUIMZ2l0ZS1uYW1hc3RlSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEB-AELiAIBqAIDuALtqdeHBsACAdICJDM2NWY2YzBkLTAyYzktNDc0ZC05N2RmLTk1YzhkNGNjODdjYtgCBuACAQ;sid=112feb5c809e55c93c7a10cb30d87aae,Netherlands,8.3,"Spacious, more than enough rooms, a lot of bath rooms. For electric car drivers, free charging at the Lidl in Givet, only 10 kms, 50 KW.","<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">Spacious, more than enough rooms, a lot of bath rooms. For electric car drivers, free charging at the Lidl in Givet, only 10 kms, 50 KW.</span></p>",Leisure trip~Family with young children~Four-Bedroom House~Stayed 7 nights~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
8,Superb,24-Mar-19,Zoe,,08-00-2024,https://www.booking.com/reviews/be/hotel/hydro-palace.en-gb.html?label=gen173nr-1BCA0oFUIMaHlkcm8tcGFsYWNlSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEBiAIBqAIDuALtqdeHBsACAdICJGVhMGRkOWQ3LTUxOTctNDZjMC1hMDU2LTRlYTIxMTJhMDZhONgCBeACAQ;sid=b24509940b0c16fb9b31db6c116ab216;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Hydro Palace Apartment,https://www.booking.com/hotel/be/hydro-palace.en-gb.html?label=gen173nr-1FCA0oFUIMaHlkcm8tcGFsYWNlSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEB-AELiAIBqAIDuALtqdeHBsACAdICJGVhMGRkOWQ3LTUxOTctNDZjMC1hMDU2LTRlYTIxMTJhMDZhONgCBuACAQ;sid=112feb5c809e55c93c7a10cb30d87aae,United Kingdom,9.2,There are no comments available for this review,"<p class=""review_none""><em>There are no comments available for this review</em></p>",Leisure trip~Couple~Apartment with Sea View~Stayed 3 nights~Submitted via mobile,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
9,highly recommended,06-Jun-19,Richard,,28-00-2022,https://www.booking.com/reviews/be/hotel/villa-pura-vida.en-gb.html?label=gen173nr-1BCA0oFUIPdmlsbGEtcHVyYS12aWRhSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEBiAIBqAIDuALtqdeHBsACAdICJGU0NzQxOGI5LTY1MTEtNDIzOS04MTc4LWFhZWZkNWUwMWU3ONgCBeACAQ;sid=112feb5c809e55c93c7a10cb30d87aae;customer_type=total&hp_nav=0&keep_landing=1&order=featuredreviews&page=1&r_lang=en&rows=75&,Villa Pura Vida,https://www.booking.com/hotel/be/villa-pura-vida.en-gb.html?label=gen173nr-1FCA0oFUIPdmlsbGEtcHVyYS12aWRhSDNYBGhsiAEBmAEJuAEHyAEN2AEB6AEB-AELiAIBqAIDuALtqdeHBsACAdICJGU0NzQxOGI5LTY1MTEtNDIzOS04MTc4LWFhZWZkNWUwMWU3ONgCBuACAQ;sid=112feb5c809e55c93c7a10cb30d87aae,United States,10.0,"nothing -- place was perfect,

This is an excellent place to stay and I highly recommend staying there. The stay is extremely helpful. One of the best places I have stayed -- it is that good.","<p class=""review_neg ""><svg aria-label=""Negative point"" class=""bk-icon -fonticon-removecircle review_item_icon"" fill=""#BDBDBD"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false""><path d=""m16 0c-8.84 0-16 7.16-16 16s7.16 16 16 16 16-7.16 16-16-7.16-16-16-16zm8 17.6h-16v-3.2h16z""></path></svg><span itemprop=""reviewBody"">nothing -- place was perfect</span></p>,<p class=""review_pos ""><svg aria-label=""Positive point"" class=""bk-icon -fonticon-plus review_item_icon"" fill=""#008009"" height=""14"" role=""img"" width=""14"" viewbox=""0 0 32 32"" aria-hidden=""true"" focusable=""false"">
  <path d=""M32 16c0 8.836-7.162 16-16 16-8.834 0-16-5.74-16-16C0 6.451 7.166 0 16 0c8.838 0 16 7.162 16 16zm-6.4-2.585c0-.369-.031-.616-.4-.616h-5.998V7.018c0-.369-.297-.62-.666-.62h-5.068c-.369 0-.666.251-.666.62v5.781H6.901c-.369 0-.499.247-.499.616v5.118c0 .369.132.666.499.666H12.8v5.833c0 .369.297.565.666.565h5.068c.369 0 .666-.196.666-.565v-5.833h5.998c.369 0 .4-.297.4-.666v-5.118z""></path>
</svg><span itemprop=""reviewBody"">This is an excellent place to stay and I highly recommend staying there. The stay is extremely helpful. One of the best places I have stayed -- it is that good.</span></p>",Business trip~Group~Deluxe Suite~Stayed 1 night,"{'language': 'en-gb', 'source': 'https://www.booking.com'}"
